"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000021098.10",79.8620509954585,-8.51414818571133,3.03459304945163,1.53769053515987e-06,1.1373807517985e-05,"4930447C04Rik","ENSMUSG00000021098"
"ENSMUSG00000022099.12",19227.7347861422,9.62489838848836,1.65121571401695,1.45877773936766e-10,1.71144641958349e-09,"Dmtn","ENSMUSG00000022099"
"ENSMUSG00000023216.9",33069.893469287,10.2331234778084,0.499569119234442,3.5561587197437e-94,4.54940931172777e-92,"Epb42","ENSMUSG00000023216"
"ENSMUSG00000023926.7",19801.7421899705,8.69308256125596,0.519354779328022,9.09056220823671e-64,6.07910687307175e-62,"Rhag","ENSMUSG00000023926"
"ENSMUSG00000023972.9",191.191564539986,-10.10466141126,3.13342002578647,1.146798887102e-08,1.13081134229521e-07,"Ptk7","ENSMUSG00000023972"
"ENSMUSG00000023992.10",34.229372756757,9.38549918491052,4.49509388024544,0.000267256667012574,0.0012638637367692,"Trem2","ENSMUSG00000023992"
"ENSMUSG00000023995.7",7739.18011055651,8.36587618928646,0.723871016681846,4.27573172527296e-32,1.30861178632339e-30,"Tspo2","ENSMUSG00000023995"
"ENSMUSG00000024034.8",61.8275734793887,-8.14262441766701,2.99664115482668,3.54793101831736e-06,2.46213024252288e-05,"Tmprss3","ENSMUSG00000024034"
"ENSMUSG00000024600.8",69.1434383478007,-8.43932658655586,3.435502025053,3.84776125253099e-05,0.000219667301308638,"Slc27a6","ENSMUSG00000024600"
"ENSMUSG00000025175.8",7087.95079309965,8.98782127164649,0.31548735485048,6.26320962041929e-181,2.30360849839022e-178,"Fn3k","ENSMUSG00000025175"
"ENSMUSG00000025243.10",121.818605863176,9.66920920671852,2.7531608986561,8.39197953811667e-09,8.37035952303542e-08,"Slc6a20b","ENSMUSG00000025243"
"ENSMUSG00000025270.9",50989.2718953193,17.9146927474986,0.996270112698925,1.00989730413157e-66,7.21243162057456e-65,"Alas2","ENSMUSG00000025270"
"ENSMUSG00000025400.6",82.2440462402083,8.80186044849082,3.09142892772369,8.13979005093797e-06,5.30583036018606e-05,"Tac2","ENSMUSG00000025400"
"ENSMUSG00000025577.7",154.17158738192,-8.80898983855375,3.23222982362365,4.66276017549497e-06,3.1743881398372e-05,"Cbx2","ENSMUSG00000025577"
