"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000022824.8",2979.84429907341,-3.39397403120877,0.42625438919351,1.45825217491949e-16,2.60361723269606e-15,"Muc13","ENSMUSG00000022824"
"ENSMUSG00000022828.10",538.845530936984,-1.41661194023103,0.408396965601249,0.000176596335794073,0.000875955931288741,"Gtf2e1","ENSMUSG00000022828"
"ENSMUSG00000022833.6",358.965006762223,-1.61343462281597,0.637703661822313,0.00279323936219724,0.0101768542587038,"Ccdc14","ENSMUSG00000022833"
"ENSMUSG00000022841.10",4828.89831324678,0.925407450893355,0.262346967140757,0.00025220244836882,0.0011988376156388,"Ap2m1","ENSMUSG00000022841"
"ENSMUSG00000022843.12",233.312926733364,2.09848214013561,0.752621219283853,0.000778142318858167,0.00330867913151484,"Clcn2","ENSMUSG00000022843"
"ENSMUSG00000022848.8",818.207694230971,2.71230249963434,0.365022781744383,1.40729664869632e-14,2.19091516355769e-13,"Slc49a4","ENSMUSG00000022848"
"ENSMUSG00000022849.4",1285.40276714258,6.09613391162522,0.551223801437364,1.31358993071856e-29,3.78190509994745e-28,"Hspbap1","ENSMUSG00000022849"
"ENSMUSG00000022855.8",3466.25077127042,1.56042252802851,0.286911270959809,1.66263867489683e-08,1.60820119560041e-07,"Senp2","ENSMUSG00000022855"
"ENSMUSG00000022856.8",123.31220861014,-1.53886441321189,0.713606289049972,0.00724369459041807,0.0229576119806615,"Tmem41a","ENSMUSG00000022856"
"ENSMUSG00000022864.9",619.919633036194,-2.64795856903336,0.481257333211992,4.6177640760922e-09,4.69823963260501e-08,"D16Ertd472e","ENSMUSG00000022864"
"ENSMUSG00000022867.9",21084.4951265419,3.30992069060914,0.21615718567912,6.53294911865375e-54,3.62689612957109e-52,"Usp25","ENSMUSG00000022867"
"ENSMUSG00000022876.13",3427.16390208966,-1.62737516633049,0.304511440582974,2.57600934298357e-08,2.42471205719605e-07,"Samsn1","ENSMUSG00000022876"
"ENSMUSG00000022884.10",10012.776800638,-1.3021692701269,0.225365173224224,3.02676193063628e-09,3.13368905865735e-08,"Eif4a2","ENSMUSG00000022884"
"ENSMUSG00000022889.7",790.714312986031,-1.03134643815149,0.360727906127028,0.00217787983745653,0.00817371636955624,"Mrpl39","ENSMUSG00000022889"
"ENSMUSG00000022892.10",1156.54645333858,1.6491009990054,0.239953563356673,1.91382069338986e-12,2.6022301331933e-11,"App","ENSMUSG00000022892"
"ENSMUSG00000022897.10",6984.22662515875,1.11044666148786,0.180539637993492,4.79732375117744e-10,5.42075476400326e-09,"Dyrk1a","ENSMUSG00000022897"
"ENSMUSG00000022899.4",2789.43296962324,3.48094192453223,0.452318029059015,1.4898195555453e-15,2.4850595579572e-14,"Slc15a2","ENSMUSG00000022899"
"ENSMUSG00000022905.8",4247.12514130404,1.25757838372661,0.413127201044561,0.000905629039025185,0.00378189452799844,"Kpna1","ENSMUSG00000022905"
"ENSMUSG00000022912.8",277.179124385298,1.09771141781477,0.404400344283364,0.00313770847573349,0.0112398264170906,"Pros1","ENSMUSG00000022912"
"ENSMUSG00000022913.10",343.638549896231,-1.05591037409923,0.489386023238051,0.0143301769277607,0.0410086681504017,"Psmg1","ENSMUSG00000022913"
"ENSMUSG00000022914.11",2238.21899491028,-1.20257581891982,0.249316894902843,5.43415297929059e-07,4.31680662156173e-06,"Brwd1","ENSMUSG00000022914"
"ENSMUSG00000022946.8",3307.40308168636,4.52683314517454,0.292804737283574,4.81718392401728e-55,2.7576034976709e-53,"Dop1b","ENSMUSG00000022946"
"ENSMUSG00000022952.12",5828.26839437237,2.69122264585036,0.224838214855362,7.09827843231256e-34,2.29516202848752e-32,"Runx1","ENSMUSG00000022952"
"ENSMUSG00000022957.15",42415.3168932998,6.73253968945567,0.386653208257226,4.63423741019925e-69,3.42607541602268e-67,"Itsn1","ENSMUSG00000022957"
"ENSMUSG00000022960.8",1776.04836364527,2.91917309033684,0.411821939079862,1.51784750669269e-13,2.21973881893269e-12,"Donson","ENSMUSG00000022960"
"ENSMUSG00000022961.13",26721.7038038437,1.3211530102454,0.225255181139641,1.84848344993698e-09,1.96667346533325e-08,"Son","ENSMUSG00000022961"
"ENSMUSG00000022962.10",2869.62150352842,-0.970173486042312,0.278654036470599,0.000303138539509676,0.00141985806853434,"Gart","ENSMUSG00000022962"
"ENSMUSG00000022967.8",5190.06708619247,3.03900499004008,0.216038254963252,7.26174627613866e-46,3.21791600043831e-44,"Ifnar1","ENSMUSG00000022967"
"ENSMUSG00000022969.9",1275.43494907364,1.15310037367199,0.382266748392388,0.00115229645990875,0.00468432868697914,"Il10rb","ENSMUSG00000022969"
"ENSMUSG00000022971.14",3644.37341865541,1.57610102297099,0.349788212685761,1.92777457481754e-06,1.40194856869578e-05,"Ifnar2","ENSMUSG00000022971"
"ENSMUSG00000022973.13",4152.4120930975,3.60036107294821,0.299582470191259,2.71022937395771e-34,8.82143684727121e-33,"Synj1","ENSMUSG00000022973"
"ENSMUSG00000022974.8",3621.84697172167,0.678883500013703,0.227350153174727,0.00222497319896559,0.00833345359042304,"Paxbp1","ENSMUSG00000022974"
"ENSMUSG00000022992.12",1106.04015869145,-1.2973132944633,0.387181006809728,0.000299606036755181,0.00140554974896117,"Kansl2","ENSMUSG00000022992"
