"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000024621.11",1030.9521279502,2.0444240657332,0.517271782457275,3.95232087863224,7.73968601987409e-05,0.00322567310833959,"Csf1r","ENSMUSG00000024621"
"ENSMUSG00000024659.10",8135.48909979938,-2.03779334548726,0.303251047907144,-6.71982293070669,1.81945524713121e-11,7.23454745832279e-09,"Anxa1","ENSMUSG00000024659"
"ENSMUSG00000024680.8",762.541268530639,2.12945875068144,0.599799913963721,3.55028185417553,0.000384818912182827,0.0114604369150481,"Ms4a2","ENSMUSG00000024680"
"ENSMUSG00000024885.8",304.354232788364,-2.687913793037,0.564725715697447,-4.75968017450271,1.93899966315214e-06,0.000157248419118357,"Aldh3b1","ENSMUSG00000024885"
"ENSMUSG00000025014.8",3306.33944000598,-2.08590539832151,0.300348576076354,-6.94494851805537,3.78598364237633e-12,2.00672580395008e-09,"Dntt","ENSMUSG00000025014"
"ENSMUSG00000025044.11",135.256851910186,-7.95326641461647,2.27208803416974,-3.50042176843854,0.00046452256113144,0.0129876197875046,"Msr1","ENSMUSG00000025044"
"ENSMUSG00000025270.9",50989.2718953193,4.12317256060304,1.07996361220561,3.81788100451114,0.000134602817032317,0.00500156031058368,"Alas2","ENSMUSG00000025270"
"ENSMUSG00000025330.6",450.234131412021,-2.64050074795672,0.671421715551932,-3.93270084478297,8.3996746423477e-05,0.00346151297866161,"Padi4","ENSMUSG00000025330"
"ENSMUSG00000025473.12",290.976346252243,-4.52421380317898,0.632849433910586,-7.14895765209486,8.74392975309543e-13,5.84730429670636e-10,"Adam8","ENSMUSG00000025473"
"ENSMUSG00000025597.9",145.602512545143,-2.62817806980285,0.865256986598619,-3.03745373976625,0.0023858602225872,0.0443329612401518,"Klhl4","ENSMUSG00000025597"
"ENSMUSG00000025647.12",1345.49926333397,-2.40419469834927,0.350940363526123,-6.85072151345824,7.34784359767683e-12,3.48714435512973e-09,"Shisa5","ENSMUSG00000025647"
"ENSMUSG00000025776.9",306.760479701288,-3.11205328192011,0.54141842826022,-5.74796334864386,9.03248114037044e-09,1.7957548991504e-06,"Crispld1","ENSMUSG00000025776"
"ENSMUSG00000025804.4",442.717106962786,-3.23565894034529,0.794028786650396,-4.07498946479622,4.60164302364285e-05,0.0021156053801198,"Ccr1","ENSMUSG00000025804"
"ENSMUSG00000026011.9",18.2047060223085,-8.75317261773945,2.58295495417375,-3.38882124273803,0.000701937540259065,0.0175237055332114,"Ctla4","ENSMUSG00000026011"
"ENSMUSG00000026012.2",198.149846427136,-3.18091439803373,0.912087898647715,-3.48750860827102,0.000487543228317851,0.0134485216398612,"Cd28","ENSMUSG00000026012"
"ENSMUSG00000026070.11",220.844736425382,-3.38504716822602,0.6569210204299,-5.15289823731137,2.56491166296386e-07,2.94804534261909e-05,"Il18r1","ENSMUSG00000026070"
"ENSMUSG00000026073.9",76.1620570096114,-10.1626468985131,1.87198564885422,-5.42880598723248,5.67323140932535e-08,8.2238850182022e-06,"Il1r2","ENSMUSG00000026073"
"ENSMUSG00000026131.13",1559.29550721511,-2.40208988945978,0.510741029544691,-4.70314650773438,2.56182451238485e-06,0.000198366116980031,"Dst","ENSMUSG00000026131"
"ENSMUSG00000026198.11",3923.68107794412,2.19585942376147,0.384569129991893,5.70992118844215,1.13028501897152e-08,2.15957833754662e-06,"Abcb6","ENSMUSG00000026198"
"ENSMUSG00000026207.12",32.4749474810272,-9.72085293106848,3.11094253799854,-3.12472918169762,0.00177968825666107,0.0356228212680239,"Speg","ENSMUSG00000026207"
"ENSMUSG00000026435.11",114.339059805038,4.19385154344869,1.3721021324391,3.05651557875909,0.00223925843819789,0.042235859157394,"Slc45a3","ENSMUSG00000026435"
"ENSMUSG00000026532.7",133401.750392321,2.0784718119071,0.58595075713482,3.54717830226964,0.000389380967396952,0.0115495419200483,"Spta1","ENSMUSG00000026532"
"ENSMUSG00000026614.6",472.321404524398,6.06980121520889,1.58494066577158,3.82967094370943,0.000128314722912132,0.00485286941769481,"Slc30a10","ENSMUSG00000026614"
"ENSMUSG00000026736.1",45.7887824728494,-5.89710737931586,1.87377549665215,-3.14717925912263,0.00164853860348779,0.0334047613649482,"4930426L09Rik","ENSMUSG00000026736"
"ENSMUSG00000026770.5",52.0491523943368,-9.2964439485026,3.08397530328617,-3.01443527728534,0.00257458136885882,0.0469358625757757,"Il2ra","ENSMUSG00000026770"
"ENSMUSG00000026822.10",3378.09621878681,-3.08431703644652,0.47827965804868,-6.44877319062687,1.12759160863839e-10,3.94979232054477e-08,"Lcn2","ENSMUSG00000026822"
"ENSMUSG00000026835.11",1337.44436031815,-3.31073214937976,0.466269808794094,-7.10046433832432,1.24338417208928e-12,7.62194497490727e-10,"Fcnb","ENSMUSG00000026835"
"ENSMUSG00000026981.11",125.040059875462,-4.18941609803257,1.27802425927845,-3.27804113859141,0.00104530160313679,0.0241799955744472,"Il1rn","ENSMUSG00000026981"
"ENSMUSG00000027073.5",3194.50331922389,-2.22706323405033,0.46037449112856,-4.83750354758126,1.31480039054741e-06,0.000113784372621962,"Prg2","ENSMUSG00000027073"
"ENSMUSG00000027276.7",26.2217200602148,-9.63950738811332,2.65007477259519,-3.63744732329701,0.000275353483063814,0.00898226262269364,"Jag1","ENSMUSG00000027276"
"ENSMUSG00000027347.14",81.6031532628393,-6.95706015188415,1.75139737959836,-3.97229105908539,7.11846666295782e-05,0.00300077024485488,"Rasgrp1","ENSMUSG00000027347"
"ENSMUSG00000027556.11",5182.43031338545,2.14619938958244,0.634830014171762,3.38074656470442,0.000722891848992134,0.0179648393283315,"Car1","ENSMUSG00000027556"
"ENSMUSG00000027570.11",25.4152080902532,-8.40895087451429,2.54734376018632,-3.30106639156516,0.000963180876248281,0.0224866997271355,"Col9a3","ENSMUSG00000027570"
"ENSMUSG00000027611.8",204.486962845607,-5.22665914590558,1.03573117298193,-5.04634723975501,4.50336637196723e-07,4.66574127213957e-05,"Procr","ENSMUSG00000027611"
"ENSMUSG00000027624.13",154.208008249344,-3.1334048705989,0.89094369449747,-3.51695049861291,0.000436535184503479,0.0124222546120216,"Epb41l1","ENSMUSG00000027624"
"ENSMUSG00000027684.12",749.897752229129,-3.55662868383816,1.00653630681023,-3.53353243174042,0.000410045778402141,0.0119457296868362,"Mecom","ENSMUSG00000027684"
"ENSMUSG00000027737.6",197.478363774341,-4.79358854887912,1.18853807323836,-4.03318047340143,5.50269859466209e-05,0.00246816163794721,"Slc7a11","ENSMUSG00000027737"
"ENSMUSG00000027750.12",71.0241025348483,-11.7994168556662,2.13726318378476,-5.52080667705666,3.37446882969819e-08,5.11806035283709e-06,"Postn","ENSMUSG00000027750"
"ENSMUSG00000027799.8",124.193991721177,-3.62680686477986,1.1521074134408,-3.14797632796087,0.00164405006588977,0.0333617442336141,"Nbea","ENSMUSG00000027799"
"ENSMUSG00000027985.10",121.289542916019,-7.90387263680349,1.80486877910913,-4.37919516825195,1.19118416851474e-05,0.000705415930677336,"Lef1","ENSMUSG00000027985"
"ENSMUSG00000028328.9",7079.9341993364,3.4134352440769,0.778281549682463,4.38586170450728,1.15527507726095e-05,0.000692459164505161,"Tmod1","ENSMUSG00000028328"
