"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000034349.10",41421.6342514578,0.750841172595642,0.168140045171901,4.4655701848302,7.98557875311858e-06,0.000505789847213229,"Smc4","ENSMUSG00000034349"
"ENSMUSG00000034394.10",135.086826795086,-4.46066455694879,1.37299890081872,-3.24884787182925,0.00115873429494349,0.0259675589263295,"Lif","ENSMUSG00000034394"
"ENSMUSG00000034422.10",3888.8382354008,-0.927219868845804,0.196073006305311,-4.72895217101942,2.25681535931037e-06,0.000179471716573914,"Parp14","ENSMUSG00000034422"
"ENSMUSG00000034438.12",160.225345981544,-4.03701953460806,1.17195059242296,-3.44470113391187,0.000571691121532515,0.0149923703743072,"Gbp8","ENSMUSG00000034438"
"ENSMUSG00000034459.8",1102.2547406499,-3.40966451180868,0.856666767230429,-3.98015265939636,6.8871026457787e-05,0.00293328984266815,"Ifit1","ENSMUSG00000034459"
"ENSMUSG00000034563.12",3051.35250476194,-0.794259021702041,0.251089923109975,-3.16324531014398,0.00156020802319829,0.0322384556703556,"Ccpg1","ENSMUSG00000034563"
"ENSMUSG00000034574.9",5110.89609955706,1.07741137072301,0.322369230893747,3.34216565190158,0.000831274350310647,0.0201477895251569,"Daam1","ENSMUSG00000034574"
"ENSMUSG00000034656.12",65.2263984496089,-6.93340349934298,2.06290468114862,-3.36099072473017,0.000776634335490398,0.019103487563497,"Cacna1a","ENSMUSG00000034656"
"ENSMUSG00000034664.9",1802.61181395407,1.88544979482837,0.366982054090444,5.13771660988004,2.78096831602803e-07,3.06384366435708e-05,"Itga2b","ENSMUSG00000034664"
"ENSMUSG00000034731.9",108.473020374573,-2.8615515298717,0.923884599014447,-3.09730407122736,0.00195289443778901,0.0383484379443917,"Dgkh","ENSMUSG00000034731"
"ENSMUSG00000034765.6",664.109428717844,-2.1185058077636,0.564010861859437,-3.7561436330841,0.000172551685820372,0.00614668378157219,"Dusp5","ENSMUSG00000034765"
"ENSMUSG00000034825.9",1015.60101355525,7.46582816152834,1.50568743176922,4.95841833039398,7.10694028322296e-07,6.70239137479335e-05,"Nrip3","ENSMUSG00000034825"
"ENSMUSG00000034853.12",376.188967723246,-1.63836373598117,0.439154384948197,-3.73072384595325,0.000190930416688549,0.00667213370622787,"Acot11","ENSMUSG00000034853"
"ENSMUSG00000034858.11",352.475836710718,-1.67102367211344,0.470502047524454,-3.55157577082932,0.000382931718683081,0.0114273660147373,"Atosa","ENSMUSG00000034858"
"ENSMUSG00000035021.9",7253.5150666039,0.927960900758104,0.262894909549438,3.52977888521496,0.000415907104938779,0.0120596329641728,"Baz1a","ENSMUSG00000035021"
"ENSMUSG00000035048.9",297.500734094527,1.52908408353421,0.501518225963887,3.04891029751792,0.00229673048804468,0.0431538939209621,"Anapc13","ENSMUSG00000035048"
"ENSMUSG00000035206.9",4998.69188267255,0.843659382215877,0.211104012743604,3.99641565904549,6.43087784301309e-05,0.0027908871630209,"Sppl2b","ENSMUSG00000035206"
"ENSMUSG00000035356.12",1230.47218557928,-1.57557659413531,0.41516266750539,-3.79508254825165,0.000147594340566183,0.00540151228460121,"Nfkbiz","ENSMUSG00000035356"
"ENSMUSG00000035441.10",3482.30084074842,1.20422435531911,0.232003103293554,5.1905527909918,2.09670664015585e-07,2.44815461031531e-05,"Myo1d","ENSMUSG00000035441"
"ENSMUSG00000035448.8",699.703557101915,-8.66792370560799,1.60824908555058,-5.38966493653598,7.05891686540212e-08,9.74542144482045e-06,"Ccr3","ENSMUSG00000035448"
"ENSMUSG00000035455.8",4336.85151701491,0.64110848522379,0.20896039652181,3.068086086623,0.00215434546407957,0.0410022386384717,"Fignl1","ENSMUSG00000035455"
"ENSMUSG00000035459.11",79.5823650041694,-9.71237104685688,2.34769352146788,-4.1369842179333,3.51900302705066e-05,0.00171429048125726,"Stab2","ENSMUSG00000035459"
"ENSMUSG00000035472.9",1718.05615713269,2.31484750305847,0.546004267103642,4.23961430803079,2.23904156713995e-05,0.00115581682581625,"Slc25a21","ENSMUSG00000035472"
"ENSMUSG00000035493.9",762.566962620616,-1.92776435216773,0.393960427629159,-4.89329439448767,9.91619027725768e-07,9.06130381111894e-05,"Tgfbi","ENSMUSG00000035493"
"ENSMUSG00000035498.9",54.7263842696415,-4.23190467189627,1.26113375161927,-3.35563509141088,0.000791829729854507,0.0193833593770707,"Cdcp1","ENSMUSG00000035498"
"ENSMUSG00000035851.10",10653.2770346257,-0.62525190179104,0.194722866044402,-3.21098345814438,0.00132281549173875,0.0284937943110696,"Ythdc1","ENSMUSG00000035851"
"ENSMUSG00000035929.11",1339.69012148065,-1.03993041693935,0.228526032593496,-4.55059935683209,5.34933197514555e-06,0.000362669917135214,"H2-Q4","ENSMUSG00000035929"
"ENSMUSG00000036002.8",4497.35390499446,-2.23949257291908,0.598554168654675,-3.74150359348866,0.000182922561569125,0.00642280841480901,"Atosb","ENSMUSG00000036002"
"ENSMUSG00000036053.12",544.055016527282,-2.1941268889978,0.659906626720736,-3.32490507013249,0.000884486451874764,0.0210900562074255,"Fmnl2","ENSMUSG00000036053"
"ENSMUSG00000036172.13",140.595540420654,-5.11071014714772,1.60086383963611,-3.19247022801728,0.00141061485625489,0.0298603823960028,"Cd200r3","ENSMUSG00000036172"
"ENSMUSG00000036211.3",40.2941415331654,7.16012776999884,2.03670248636811,3.5155491869443,0.000438845460697423,0.012439873637342,"H1f6","ENSMUSG00000036211"
"ENSMUSG00000036273.11",1084.05300808601,-1.48110472128208,0.456273932425208,-3.24608665108183,0.00117003220811473,0.0260248039259427,"Lrrk2","ENSMUSG00000036273"
"ENSMUSG00000036352.12",12541.6948037521,0.975286258580822,0.259948796926252,3.75183986274618,0.000175541581419845,0.00623808634262985,"Ubac1","ENSMUSG00000036352"
"ENSMUSG00000036377.14",2024.80899431273,1.46513515970602,0.307864522751698,4.7590256474199,1.94529719137717e-06,0.000157248419118357,"Cracd","ENSMUSG00000036377"
"ENSMUSG00000036478.7",3818.09668893214,-0.740328351952321,0.203082083829241,-3.64546363713117,0.000266910155933312,0.00876513887073859,"Btg1","ENSMUSG00000036478"
"ENSMUSG00000036555.10",311.454110081044,-1.6278348947923,0.529279289051409,-3.07556885082308,0.00210101413863297,0.0404053856308082,"Iqce","ENSMUSG00000036555"
"ENSMUSG00000036585.11",43.3087068521728,-6.12821819691113,1.88434096246631,-3.25218117048746,0.00114522999119976,0.0257624214534111,"Fgf1","ENSMUSG00000036585"
"ENSMUSG00000036591.11",4962.95768876082,1.22830995072489,0.337127057088263,3.64346297604735,0.000268994360429867,0.00881390875421871,"Arhgap21","ENSMUSG00000036591"
"ENSMUSG00000036594.10",558.951461704079,-1.53605822564748,0.328908200048565,-4.67017309212928,3.00946047825977e-06,0.000226607756351113,"H2-Aa","ENSMUSG00000036594"
"ENSMUSG00000036698.10",22953.4935232174,0.756965331890417,0.217590768581933,3.47884855972363,0.000503573076856482,0.0136814389187995,"Ago2","ENSMUSG00000036698"
"ENSMUSG00000036777.7",13825.800538072,0.867554322470207,0.27550680872582,3.14893968131867,0.0016386401401441,0.0333132338848355,"Anln","ENSMUSG00000036777"
"ENSMUSG00000036995.7",27.8586388676529,-6.81765226621206,2.23604647381746,-3.04897610404882,0.00229622745508495,0.0431538939209621,"Asap3","ENSMUSG00000036995"
"ENSMUSG00000037095.7",123.58836777714,-5.24651398988742,1.08061637975351,-4.85511240453727,1.20318474685662e-06,0.000106634060215389,"Lrg1","ENSMUSG00000037095"
"ENSMUSG00000037124.6",7109.75014981529,1.05803910943492,0.343866991166664,3.07688477409602,0.00209176142046739,0.0402800968820893,"Trim58","ENSMUSG00000037124"
"ENSMUSG00000037336.10",9464.97456694377,2.35164528090732,0.487849589684689,4.82043099068148,1.4324840431433e-06,0.000121819105449273,"Mfsd2b","ENSMUSG00000037336"
"ENSMUSG00000037419.8",8815.31214066058,1.39169918806296,0.310143746863351,4.48727147375357,7.21411268533241e-06,0.000467550774566566,"Endod1","ENSMUSG00000037419"
"ENSMUSG00000037465.9",1894.77616498324,-0.843443290254672,0.256589081560466,-3.28713632367055,0.00101211824823294,0.0235233549257552,"Klf10","ENSMUSG00000037465"
"ENSMUSG00000037820.11",985.106118974298,-1.91129104234941,0.354669824981928,-5.38893051430806,7.08782011008556e-08,9.74542144482045e-06,"Tgm2","ENSMUSG00000037820"
"ENSMUSG00000037921.10",417.406839187267,-1.31812443553138,0.411939309244989,-3.19980250961547,0.00137521784243249,0.0292372903148364,"Ddx60","ENSMUSG00000037921"
"ENSMUSG00000037922.9",258.663835988955,-5.26107573034697,1.04749366135284,-5.02253705626464,5.09933546021957e-07,5.10349818304424e-05,"Bank1","ENSMUSG00000037922"
"ENSMUSG00000037940.11",336.763761335254,-2.06961555190219,0.63964392875097,-3.23557444833959,0.00121398222919978,0.0266967213093979,"Inpp4b","ENSMUSG00000037940"
"ENSMUSG00000037944.8",38.5024931317967,-8.82770969722996,1.87640201023369,-4.70459403106829,2.54371608657042e-06,0.000198006090294307,"Ccr7","ENSMUSG00000037944"
"ENSMUSG00000037949.7",264.310988393524,-1.71297564916332,0.549521933963551,-3.11721069404472,0.0018257104085763,0.0363954627790983,"Ano10","ENSMUSG00000037949"
"ENSMUSG00000037960.10",145.130397921697,-2.26306296709674,0.621284698437368,-3.64255384494212,0.000269946487519531,0.00882545049863854,"Card19","ENSMUSG00000037960"
"ENSMUSG00000038349.10",40.2488777499592,-6.7024967519837,2.01229062329346,-3.33077969672885,0.00086603111761266,0.0207847468227038,"Plcl1","ENSMUSG00000038349"
"ENSMUSG00000038357.9",5513.69587730407,-3.2303775399045,0.469955143851462,-6.87379972784278,6.25139573115891e-12,3.06568446656033e-09,"Camp","ENSMUSG00000038357"
"ENSMUSG00000038384.12",978.277292090015,1.62766320104067,0.307534040855095,5.29262775761333,1.20571181946764e-07,1.5560028322814e-05,"Setd1b","ENSMUSG00000038384"
"ENSMUSG00000038393.10",5903.25543425139,-1.19574867350618,0.23703656617577,-5.04457473712935,4.54531147395119e-07,4.67626730103286e-05,"Txnip","ENSMUSG00000038393"
"ENSMUSG00000038456.5",31.2922133250272,-8.6568938476609,2.45460126067927,-3.52680249388663,0.000420610394452388,0.012133372790556,"Dennd2a","ENSMUSG00000038456"
"ENSMUSG00000038463.8",282.026108148319,-2.99508127889071,0.844083094648203,-3.54832515646934,0.000387689297560046,0.0115225958499058,"Olfml2b","ENSMUSG00000038463"
"ENSMUSG00000038495.10",1652.9865006496,-1.25965798772204,0.407001619475799,-3.09497045575501,0.00196832502415258,0.0385079757384743,"Otud7b","ENSMUSG00000038495"
"ENSMUSG00000038507.6",916.258543107031,-1.36405742850557,0.391832087532354,-3.48122951618388,0.000499117604966855,0.0136487327216959,"Parp12","ENSMUSG00000038507"
"ENSMUSG00000038612.12",8180.71143060277,-0.903315817176236,0.212944737945976,-4.2420199056781,2.21517039091476e-05,0.00114752066165979,"Mcl1","ENSMUSG00000038612"
"ENSMUSG00000038759.11",3509.2496494858,0.699328526068802,0.20431713893826,3.42275997844765,0.000619887877223539,0.01595101393443,"Nup205","ENSMUSG00000038759"
"ENSMUSG00000038894.6",723.564536948392,-2.03912036500016,0.413654996725373,-4.92951948155468,8.24321156579764e-07,7.67557775670981e-05,"Irs2","ENSMUSG00000038894"
"ENSMUSG00000039005.9",467.748453920969,-1.96527512221115,0.376303466894156,-5.22258043071373,1.76446876406601e-07,2.09345681104348e-05,"Tlr4","ENSMUSG00000039005"
"ENSMUSG00000039013.12",297.502317043335,1.81193472583664,0.503603760066547,3.5979372465313,0.000320750980424488,0.0100830949230877,"Siglecf","ENSMUSG00000039013"
"ENSMUSG00000039055.4",663.652862755149,1.25937633537954,0.370541456197133,3.39874611684349,0.000676955244531976,0.0171417651593019,"Eme1","ENSMUSG00000039055"
"ENSMUSG00000039109.11",3770.27701803548,2.79620587247678,0.511266285673246,5.46917712126212,4.52129752899535e-08,6.78748257618158e-06,"F13a1","ENSMUSG00000039109"
"ENSMUSG00000039167.7",10712.3236961468,-1.6463209039839,0.390238684179128,-4.21875372875183,2.45656416622566e-05,0.00124624041425903,"Adgrl4","ENSMUSG00000039167"
"ENSMUSG00000039197.9",1146.57654933138,0.992135463227383,0.291339506812016,3.40542713922952,0.000660606388821225,0.0167855633719134,"Adk","ENSMUSG00000039197"
"ENSMUSG00000039242.9",1220.17793476632,0.824364130055665,0.254411990440959,3.24027231824585,0.00119415595725121,0.0263000335974249,"B3galnt2","ENSMUSG00000039242"
"ENSMUSG00000039542.11",426.438351719917,-2.46721640869097,0.565600391567157,-4.36211934340224,1.2880856998526e-05,0.000743149679067902,"Ncam1","ENSMUSG00000039542"
"ENSMUSG00000039616.9",109.028844945303,-5.45612580170212,1.39180990484516,-3.92016595277006,8.84880132574905e-05,0.00357647156880275,"Mocos","ENSMUSG00000039616"
"ENSMUSG00000039770.5",5934.65820973055,-1.0095229061926,0.259875886231581,-3.88463478020807,0.00010248382797223,0.00400995233278577,"Ypel5","ENSMUSG00000039770"
"ENSMUSG00000039783.11",176.846116768289,1.8554518744102,0.598948815081975,3.09784714100529,0.00194931945897016,0.0383484379443917,"Kmo","ENSMUSG00000039783"
"ENSMUSG00000039960.5",307.644438756203,-2.06631155104557,0.516327880993499,-4.00193680625895,6.28260804806211e-05,0.00275088480961577,"Rhou","ENSMUSG00000039960"
"ENSMUSG00000039994.11",2367.62350244226,0.944851104010725,0.270949779429935,3.48718166886367,0.000488139651691535,0.0134485216398612,"Timeless","ENSMUSG00000039994"
"ENSMUSG00000040010.10",8105.22542340289,1.17803751574058,0.273216051393625,4.31174343429542,1.61972316161934e-05,0.000892485661188901,"Slc7a5","ENSMUSG00000040010"
"ENSMUSG00000040061.13",2028.78630844109,-1.15762945474171,0.332521859521002,-3.48136347008667,0.000498868033071892,0.0136487327216959,"Plcb2","ENSMUSG00000040061"
"ENSMUSG00000040111.10",731.756409460545,-2.13428780764683,0.352999274204568,-6.04615352951116,1.48344742454326e-09,3.57778336227548e-07,"Gramd1b","ENSMUSG00000040111"
"ENSMUSG00000040152.8",466.668715975843,-2.66070761124937,0.772759139402259,-3.44312668150062,0.000575029886881557,0.0150263582518676,"Thbs1","ENSMUSG00000040152"
"ENSMUSG00000040195.7",3245.18825027804,-0.857763172810166,0.225348599975611,-3.80638341175849,0.000141013720219537,0.00518648462967459,"1700012D01Rik","ENSMUSG00000040195"
"ENSMUSG00000040234.12",2398.80645044652,0.960307691814899,0.211865507797202,4.53262875018858,5.82541469972065e-06,0.00038779864734068,"Tm7sf3","ENSMUSG00000040234"
"ENSMUSG00000040254.7",277.552992781283,-5.8478759557356,0.744695528960694,-7.85270721834058,4.07151391446539e-15,5.99001127096149e-12,"Sema3d","ENSMUSG00000040254"
"ENSMUSG00000040274.7",4663.73192868755,0.879172467008374,0.273586073322214,3.21351323308382,0.00131121755707218,0.0283269202637972,"Cdk6","ENSMUSG00000040274"
"ENSMUSG00000040296.11",1204.36465338654,-1.60589717315685,0.370031172554417,-4.33989699319368,1.42549520341111e-05,0.000797410092493699,"Rigi","ENSMUSG00000040296"
"ENSMUSG00000040297.8",26378.7895017733,-0.820446329562628,0.23723674736712,-3.4583442011747,0.000543506522419992,0.0144984921296906,"Suco","ENSMUSG00000040297"
"ENSMUSG00000040314.1",3856.20250454885,1.55218764232071,0.271298703571209,5.72132347810243,1.05697437630945e-08,2.04607987161377e-06,"Ctsg","ENSMUSG00000040314"
"ENSMUSG00000040428.13",56.2018136961341,-8.45779884074804,2.17419495357903,-3.89008300604567,0.000100209938432776,0.00395251639201878,"Plekha4","ENSMUSG00000040428"
"ENSMUSG00000040466.11",4423.83865495024,1.96097014692567,0.37145716378983,5.2791286266192,1.29799667255537e-07,1.63214761082347e-05,"Blvrb","ENSMUSG00000040466"
"ENSMUSG00000040483.11",584.232193945018,-1.75454254739011,0.417229021107205,-4.20522652699006,2.60820790280082e-05,0.00131862387168404,"Xaf1","ENSMUSG00000040483"
"ENSMUSG00000040537.13",322.222066379831,-2.67440541100476,0.669948902188581,-3.9919543151247,6.55309992158382e-05,0.00282724944417423,"Adam22","ENSMUSG00000040537"
"ENSMUSG00000040631.7",235.599029409608,1.9321509657846,0.627627520311324,3.0784994335911,0.00208045925208986,0.0401149626693918,"Dok4","ENSMUSG00000040631"
"ENSMUSG00000040723.10",2503.76895082421,-0.609992562633855,0.19436326018768,-3.13841495581438,0.00169864218726615,0.034327505300906,"Rcsd1","ENSMUSG00000040723"
"ENSMUSG00000040809.10",9762.76951814687,-3.06694454936261,0.522287162550283,-5.87214231800564,4.30199173474721e-09,9.04155748594299e-07,"Chil3","ENSMUSG00000040809"
"ENSMUSG00000040848.7",2080.50136934142,-1.05592447377204,0.317211364478427,-3.32877252209497,0.000872296184274674,0.0209010121548029,"Sft2d2","ENSMUSG00000040848"
"ENSMUSG00000040855.11",246.091202144353,2.27619817362206,0.743510534480378,3.06142020598651,0.00220289698951659,0.0417104511065226,"Reps2","ENSMUSG00000040855"
"ENSMUSG00000040964.12",132.954880482808,-2.28562573662419,0.761556747558733,-3.00125465889582,0.00268869605329957,0.0485947129436649,"Arhgef10l","ENSMUSG00000040964"
"ENSMUSG00000041064.9",1529.23195445966,1.7324972393347,0.553791708849834,3.12842755073548,0.00175744331349273,0.0352735416481651,"Pif1","ENSMUSG00000041064"
"ENSMUSG00000041237.8",671.540297811139,3.07206652013836,0.833120625097289,3.68742103795548,0.000226538356879241,0.00769707230117181,"Pklr","ENSMUSG00000041237"
"ENSMUSG00000041431.12",7897.45867827597,0.79891093432247,0.256748115685594,3.11165257119469,0.00186043309850608,0.0369874212773262,"Ccnb1","ENSMUSG00000041431"
"ENSMUSG00000041481.12",951.599515173743,-1.47070085106265,0.450931532005409,-3.26147263315578,0.00110835130645207,0.0252637441725093,"Serpina3g","ENSMUSG00000041481"
"ENSMUSG00000041498.9",9850.32840741239,0.783434302890801,0.246246333139656,3.1815064732212,0.00146511248699925,0.0307047505822407,"Kif14","ENSMUSG00000041498"
"ENSMUSG00000041515.5",1661.65211853736,2.23706825999017,0.370417380256361,6.0393177513483,1.54767206426598e-09,3.67247603378728e-07,"Irf8","ENSMUSG00000041515"
"ENSMUSG00000041617.6",35.9613060782332,7.60973068321621,2.06950170767097,3.6770835486675,0.000235915788344438,0.00797883466235258,"Ccdc74a","ENSMUSG00000041617"
"ENSMUSG00000041762.12",921.704297346694,1.8192677169878,0.551434975445582,3.29915184563285,0.000969774386189904,0.022574874635484,"Gpr155","ENSMUSG00000041762"
"ENSMUSG00000041797.7",274.487131164765,2.19635247048223,0.685983777414474,3.20175570151302,0.00136592785816365,0.0290818099121616,"Abca9","ENSMUSG00000041797"
"ENSMUSG00000041831.11",13.9992197924068,-7.41315250555662,2.40054266256116,-3.08811529208461,0.00201430307838268,0.0391989773666216,"Sytl3","ENSMUSG00000041831"
"ENSMUSG00000041842.11",22121.4068352035,-2.03726787416625,0.311104483996595,-6.54850051659347,5.81176560780889e-11,2.25007093742327e-08,"Fhdc1","ENSMUSG00000041842"
